,product,positive,negative
166,Weleda Everon Lip Balm,82.25,17.75
164,"Physicians Formula Mineral Wear Talc-Free Mineral Correcting Powder, Creamy Natural",82.0,18.0
74,Udi's Pepperoni Pizza,82.0,18.0
121,Vaseline Intensive Care Lip Therapy Cocoa Butter,81.76,18.24
9,Kind Dark Chocolate Chunk Gluten Free Granola Bars - 5 Count,81.71,18.29
45,Pantene Pro-V Expert Collection Age Defy Conditioner,81.66,18.34
159,"2x Ultra Era with Oxi Booster, 50fl oz",81.6,18.4
241,"Storkcraft Tuscany Glider and Ottoman, Beige Cushions, Espresso Finish",81.54,18.46
126,There's Something About Mary (dvd),81.48,18.52
47,Lite Source Basic Ii 1-Lt Floor Lamp - Dark Bronze,81.0,19.0
223,Jason Aldean - They Don't Know,80.92,19.08
208,Cheetos Crunchy Flamin' Hot Cheese Flavored Snacks,80.81,19.19
250,Mrs. Meyer's Lemon Verbena Surface Scrub,80.67,19.33
203,Vaseline Intensive Care Healthy Hands Stronger Nails,80.49,19.51
143,J.a. Henckels International 4-Pc Everedge Plus Steak Knife Set,80.33,19.67
137,Africa's Best No-Lye Dual Conditioning Relaxer System Super,80.33,19.67
52,Chex Muddy Buddies Brownie Supreme Snack Mix,80.31,19.69
169,Fantasy Fields Lil' Sports Fan Step Stool - Teamson,80.0,20.0
192,"Caress Moisturizing Body Bar Natural Silk, 4.75oz",79.94,20.06
34,Dark Shadows (includes Digital Copy) (ultraviolet) (dvdvideo),79.94,20.06
120,Sizzix Framelits Dies 1by Tim Holtz Bird Crazy-Silver Asst Sizes,79.81,20.19
234,"Shea Moisture Mango & Carrot Kids Extra-Nourishing Conditioner, 8fl Oz",79.79,20.21
226,Care Free Curl Gold Instant Activator,79.77,20.23
101,"Lundberg Wehani Rice, 25lb",79.73,20.27
113,"Coty Airspun Face Powder, Translucent Extra Coverage",79.68,20.32
6,Olay Regenerist Deep Hydration Regenerating Cream,79.51,20.49
244,Sea Gull Lighting Holman One Light Wall/bath Sconce - Brushed Nickel,79.5,20.5
202,Switchmas (dvd),79.29,20.71
134,Doc Mcstuffins: Friendship Is The Best Medicine,79.26,20.74
247,Bedtime Originals Pinkie Musical Mobile,79.17,20.83
21,"Banana Boat Sunless Summer Color Self Tanning Lotion, Light To Medium",78.87,21.13
67,The Honest Company Laundry Detergent,78.72,21.28
12,Cars Toon: Mater's Tall Tales,78.71,21.29
70,Stander Pt Bedcane - Bed Handle,78.69,21.31
106,"L'oreal Paris Visible Lift Smooth Absolute, Natural Buff",78.64,21.36
183,"Pleasant Hearth 1,800 sq ft Wood Burning Stove with Blower, Medium, LWS-127201",78.51,21.49
200,"Physicians Formula Powder Palette Mineral Glow Pearls, Translucent Pearl",78.43,21.57
173,Kendall Comforter And Sheet Set (twin) Aqua - 7pc,78.33,21.67
36,Mike Dave Need Wedding Dates (dvd + Digital),78.27,21.73
15,"Finish Quantum Dishwasher Detergent, Lemon Sparkle Scent, 45 Count",78.23,21.77
133,"L'oreal Paris Colour Caresse Wet Shine Stain, Pink Resistance",78.19,21.81
105,"Bounce Dryer Sheets, Fresh Linen, 160 sheets",78.16,21.84
139,"Newman's Own Balsamic Vinaigrette, 16.0oz",78.12,21.88
115,Power Crunch Protein Energy Bar Peanut Butter Creme Original,78.03,21.97
189,Southern Enterprises Archer Fold-Away Home Bar in Walnut,78.0,22.0
158,JNH Lifestyles Goldstar 3 Person FAR Infrared Sauna,78.0,22.0
117,"Smead174 Recycled Letter Size Manila File Backs W/prong Fasteners, 2 Capacity, 100/box",78.0,22.0
206,Clear Scalp & Hair Therapy Total Care Nourishing Shampoo,77.98,22.02
209,Bisquick Original Pancake And Baking Mix - 40oz,77.83,22.17
89,D-Con Mice Bait Station - 3ct,77.7,22.3
198,Progresso Light Vegetable & Noodle Soup,77.67,22.33
69,Hoover174 Platinum Collection153 Lightweight Bagged Upright Vacuum With Canister - Uh30010com,77.62,22.38
10,"Pantene Color Preserve Volume Shampoo, 25.4oz",77.61,22.39
93,SC Johnson One Step No Buff Wax,77.46,22.54
184,Stacy's Simply Naked Bagel Chips,77.24,22.76
92,"Burt's Bees Lip Shimmer, Raisin",77.09,22.91
191,4C Grated Parmesan Cheese 100% Natural 8oz Shaker,76.67,23.33
153,Trend Lab Park Nursing Cover - Paisley,76.64,23.36
219,"Ben & Jerry's Coffee, Coffee Buzzbuzzbuzz! Ice Cream, Pint",76.55,23.45
196,Progresso Traditional Chicken Tuscany Soup,76.38,23.62
201,"Pleasant Hearth 7.5 Steel Grate, 30 5 Bar - Black",76.07,23.93
71,Calvin Klein Secret Obsession Eau De Parfum,76.0,24.0
148,"Burt's Bees Lip Shimmer, Watermelon",75.88,24.13
136,Bilbao Nightstand Gray Oak - South Shore,75.83,24.17
205,Alex Cross (dvdvideo),75.38,24.62
62,Baxter Of California Cream Pomade,75.37,24.62
127,Head & Shoulders Dandruff Shampoo Ocean Lift 2 In 1,75.33,24.67
174,"Tree Hut Shea Body Butters, Coconut Lime, 7 oz",75.28,24.72
150,Scooby Doo And The Loch Ness Monster (blu-Ray),75.0,25.0
165,Equals (blu-Ray),75.0,25.0
212,"Finish Gelpacs Dishwasher Detergent, Orange Scent, 84ct",74.88,25.12
73,Happy Tot Apple and Butternut Squash,74.67,25.33
78,Nearly Natural 5.5' Bamboo W/decorative Planter,74.67,25.33
211,Voortman Sugar Free Fudge Chocolate Chip Cookies,74.25,25.75
90,"Lysol Concentrate Deodorizing Cleaner, Original Scent",74.23,25.77
186,Tostitos Bite Size Tortilla Chips,73.81,26.19
56,"Creme Of Nature Intensive Conditioning Treatment, 32",73.67,26.33
123,Starbucks153 Doubleshot Protein Coffee - 11 Fl Oz,73.33,26.67
232,Various Artists - Choo Choo Soul (cd),73.14,26.86
38,Progresso Traditional Meatball & Rice Soup,73.0,27.0
13,CeraVe SA Renewing Cream,72.67,27.33
24,Bumble Bee Solid White Albacore In Water - 5 Oz,72.55,27.45
50,Toy Story Kids' Woody Accessory Kit,72.5,27.5
5,"Johnson's Baby Bubble Bath and Wash, 15oz",72.29,27.71
119,Little Bedding By Nojo Jungle Dreams 2 Pack Sheet Set,72.25,27.75
114,Axe Dry Anti-Perspirant Deodorant Invisible Solid Phoenix,72.17,27.83
88,Chester's Cheese Flavored Puffcorn Snacks,72.03,27.97
75,The Resident Evil Collection 5 Discs (blu-Ray),72.02,27.98
23,"Suave Professionals Hair Conditioner, Sleek",71.82,28.18
132,"Dermalogica Special Cleansing Gel, 8.4oz",71.75,28.25
80,"Australian Gold Exotic Blend Lotion, SPF 4",71.47,28.53
82,"Hormel Chili, No Beans",71.23,28.77
87,Orajel Maximum Strength Toothache Pain Relief Liquid,71.2,28.8
61,Diet Canada Dry Ginger Ale - 12pk/12 Fl Oz Cans,71.12,28.88
63,Ragu Roasted Garlic Parmesan Pasta Sauce,71.03,28.97
7,Windex Original Glass Cleaner Refill 67.6oz (2 Liter),70.92,29.08
94,"Simple Green All-Purpose Cleaner, 16oz",70.5,29.5
245,Chobani174 Strawberry On The Bottom Non-Fat Greek Yogurt - 5.3oz,70.07,29.93
124,Bill Glor Gaither - Church In The Wildwood (cd),70.0,30.0
177,Honeywell Heatbud Ceramic Heater Black,69.67,30.33
248,Various - Red Hot Blue:Tribute To Cole Porter (cd),69.5,30.5
161,Annie's Homegrown Deluxe Elbows & Four Cheese Sauce,69.5,30.5
107,"Just For Men Touch Of Gray Gray Hair Treatment, Black T-55",69.48,30.52
197,Yes To Grapefruit Rejuvenating Body Wash,69.22,30.78
214,Ragu Traditional Pasta Sauce,69.01,30.99
145,"Kikkoman Soy Sauce, 5fl oz",68.6,31.4
60,Wedding Wishes Wedding Guest Book,68.0,32.0
190,Chips Ahoy! Original Chocolate Chip - Cookies - Family Size 18.2oz,67.87,32.13
111,"All,bran Complete Wheat Flakes, 18 Oz.",67.66,32.34
43,Holmes174 Personal Indoor Heater W/ Manual Controls White 1500w Hfh131-N,67.25,32.75
65,"Pendaflex174 Divide It Up File Folder, Multi Section, Letter, Assorted, 12/pack",66.95,33.05
227,Spam Single Classic,66.12,33.88
77,"Super Poligrip Denture Adhesive Cream, Ultra Fresh - 2.4 Oz",66.02,33.98
154,L'oreal Paris Advanced Hairstyle Boost It High Lift Creation Spray,66.0,34.0
55,Wagan Smartac 80watt Inverter With Usb,65.6,34.4
20,Meguiar's Deep Crystal Car Wash 64-Oz.,65.4,34.6
46,Nature's Path Flax Plus Maple Pecan Crunch Cereal,65.0,35.0
19,"Neutrogena Wet Skin Sunscreen Spray Broad Spectrum SPF 50, 5oz",64.86,35.14
125,"RC Cola, 12oz",64.5,35.5
141,Home Health Hairever Shampoo,64.25,35.75
112,Clorox Ultimate Care Premium Bleach,64.0,36.0
204,Solo Foods Poppy Seed Cake and Pastry Filling,63.62,36.38
83,Tai Pei Sweet & Sour Chicken,62.59,37.41
68,Plano Mini-Magnum 13-Compartment Tackle Box,61.2,38.8
217,"Aveeno Baby Continuous Protection Lotion Sunscreen with Broad Spectrum SPF 55, 4oz",60.38,39.62
33,Alberto VO5 Salon Series Smooth Plus Sleek Shampoo,60.33,39.67
239,Barielle Nail Rebuilding Protein,59.88,40.12
194,Heiress (dvd),59.58,40.42
51,Maranatha No Stir Raw Maple Almond Butter,59.53,40.47
76,Annie's Homegrown Gluten Free Double Chocolate Chip Granola Bars,59.2,40.8
35,Clambake (dvd),58.97,41.03
102,Post Bound Jumbo Album - Burgundy (11x14),56.0,44.0
144,Olay Moisturizing Lotion For Sensitive Skin,56.0,44.0
57,Arrid Extra Dry Anti-Perspirant Deodorant Spray Regular,55.59,44.41
157,Various - Country's Greatest Gospel:Gold Ed (cd),55.0,45.0
181,0.6 Cu. Ft. Letter A4 Size Waterproof 30 Min. Fire File Chest,54.67,45.33
230,"Vicks Vaporub, Regular, 3.53oz",54.66,45.34
242,Queen Helene Cocoa Butter Solid,52.78,47.22
91,Coola Organic Sunscreen Classic Face Cucumber SPF 30,52.5,47.5
179,Lay's Salt & Vinegar Flavored Potato Chips,52.17,47.83
240,"Musselman Apple Sauce, Cinnamon, 48oz",51.38,48.62
131,Black Front Loading Frame Set (8.5x11) Set Of 12,50.08,49.92
